
Rate modification view 1:

			Reaction			 Modification Factor 
br101 -> n + n + n + kr98 + electron + anti-neutrino_e   0.0000e+00
br102 -> n + kr101 + electron + anti-neutrino_e          0.0000e+00
br102 -> n + n + kr100 + electron + anti-neutrino_e      0.0000e+00
br102 -> n + n + n + kr99 + electron + anti-neutrino_e   0.0000e+00
br103 -> n + kr102 + electron + anti-neutrino_e          0.0000e+00
br103 -> n + n + kr101 + electron + anti-neutrino_e      0.0000e+00
br103 -> n + n + n + kr100 + electron + anti-neutrino_e  0.0000e+00
br104 -> n + kr103 + electron + anti-neutrino_e          0.0000e+00
br104 -> n + n + kr102 + electron + anti-neutrino_e      0.0000e+00
br104 -> n + n + n + kr101 + electron + anti-neutrino_e  0.0000e+00
br105 -> n + kr104 + electron + anti-neutrino_e          0.0000e+00
br105 -> n + n + kr103 + electron + anti-neutrino_e      0.0000e+00
br105 -> n + n + n + kr102 + electron + anti-neutrino_e  0.0000e+00
br106 -> n + kr105 + electron + anti-neutrino_e          0.0000e+00
br106 -> n + n + kr104 + electron + anti-neutrino_e      0.0000e+00
br106 -> n + n + n + kr103 + electron + anti-neutrino_e  0.0000e+00
br107 -> n + kr106 + electron + anti-neutrino_e          0.0000e+00
br107 -> n + n + kr105 + electron + anti-neutrino_e      0.0000e+00
br107 -> n + n + n + kr104 + electron + anti-neutrino_e  0.0000e+00
br108 -> n + kr107 + electron + anti-neutrino_e          0.0000e+00
br108 -> n + n + kr106 + electron + anti-neutrino_e      0.0000e+00
br108 -> n + n + n + kr105 + electron + anti-neutrino_e  0.0000e+00
br109 -> n + kr108 + electron + anti-neutrino_e          0.0000e+00
br109 -> n + n + kr107 + electron + anti-neutrino_e      0.0000e+00
br109 -> n + n + n + kr106 + electron + anti-neutrino_e  0.0000e+00
br110 -> n + n + kr108 + electron + anti-neutrino_e      0.0000e+00
br110 -> n + n + n + kr107 + electron + anti-neutrino_e  0.0000e+00
br111 -> n + kr110 + electron + anti-neutrino_e          0.0000e+00
br111 -> n + n + kr109 + electron + anti-neutrino_e      0.0000e+00
br111 -> n + n + n + kr108 + electron + anti-neutrino_e  0.0000e+00
br112 -> n + n + kr110 + electron + anti-neutrino_e      0.0000e+00
br112 -> n + n + n + kr109 + electron + anti-neutrino_e  0.0000e+00
br113 -> n + kr112 + electron + anti-neutrino_e          0.0000e+00
br113 -> n + n + kr111 + electron + anti-neutrino_e      0.0000e+00
br113 -> n + n + n + kr110 + electron + anti-neutrino_e  0.0000e+00
br114 -> n + kr113 + electron + anti-neutrino_e          0.0000e+00
br114 -> n + n + kr112 + electron + anti-neutrino_e      0.0000e+00
br114 -> n + n + n + kr111 + electron + anti-neutrino_e  0.0000e+00
